what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1285322574621
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322634507
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322635983
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1285322643247
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1285322644990
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322646095
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322647879
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1285322652609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322653185
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322655607
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322657357
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322661503
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1285322665642
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322666120
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322667247
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322673283
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322676722
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1285322681613
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1285322704851
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322707369
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322708725
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1285322713253
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322715432
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322716620
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285322719374
